Passenger_ID,Ticket_ID,Passenger_Name,Sex,Age,Status
75,21,Ravi,F,65,S4-26
76,21,Amit,M,46,S9-9
77,21,Amit,F,48,S8-27
78,21,Ankit,F,62,S5-10
79,21,Suman,M,34,S7-28
80,22,Suman,F,38,S5-64
81,23,Pooja,F,20,S9-39
82,24,Sangeeta,M,47,S1-5
83,24,Priya,M,39,S4-6
84,24,Ravi,M,61,S7-16
85,24,Suman,F,18,S2-5
86,24,Pooja,M,36,S2-43
87,24,Kunal,F,37,S9-3
88,25,Pooja,F,39,S2-71
89,25,Neeraj,F,30,S8-52
90,26,Kunal,F,41,S5-21
91,26,Kunal,M,47,S1-47
92,26,Neeraj,M,27,S9-60
93,26,Kunal,M,60,S3-60
94,26,Ankit,M,53,S8-26
95,26,Kunal,F,33,S1-61
96,27,Ankit,M,56,S7-28
97,28,Ravi,F,40,S10-64
98,28,Suman,M,56,S6-22
99,29,Neeraj,F,24,S1-20
100,29,Ankit,M,52,S10-70
101,29,Rohit,F,22,S7-7
102,29,Suman,M,48,S9-49
103,29,Sangeeta,M,31,S6-7
104,29,Neeraj,F,22,S1-43
105,30,Ankit,M,33,S7-27
106,31,Amit,F,31,S7-35
107,31,Pooja,M,37,S2-15
108,31,Ankit,M,53,S6-47
109,32,Ankit,M,63,S4-1
110,32,Suman,F,38,S3-44
111,32,Ankit,F,44,S4-66
112,33,Ankit,F,62,S10-13
113,33,Kunal,M,58,S5-20
114,33,Priya,M,55,S2-52
115,34,Ankit,F,43,S5-22
116,34,Amit,M,24,S4-6
117,34,Sangeeta,F,55,S4-16
118,35,Ravi,M,44,S1-67
119,35,Kunal,M,28,S7-57
120,35,Sangeeta,F,63,S5-24
121,36,Ravi,F,24,S1-14
122,36,Priya,F,47,S9-42
123,36,Suman,M,59,S2-33
124,37,Ravi,M,53,S1-44
125,37,Ankit,F,44,S3-47
126,37,Kunal,F,62,S2-31
127,38,Neeraj,M,60,S2-7
128,38,Priya,F,53,S1-4
129,38,Suman,F,36,S9-29
130,39,Amit,F,59,S6-29
131,39,Priya,F,41,S10-59
132,39,Sangeeta,F,28,S8-9
133,39,Priya,M,32,S1-2
134,40,Pooja,M,65,S4-53
135,40,Neeraj,M,43,S8-26
136,40,Priya,M,42,S10-24
137,40,Kunal,M,31,S3-17
138,40,Kunal,F,42,S1-32
139,41,Amit,M,59,S6-25
140,41,Rohit,M,44,S7-66
141,41,Amit,M,63,S8-43
142,41,Amit,M,56,S8-28
143,42,Suman,M,48,S10-26
144,42,Priya,M,37,S2-13
145,42,Neeraj,M,59,S4-7
146,42,Pooja,F,58,S4-27
147,42,Neeraj,F,59,S8-6
148,43,Rohit,F,57,S3-11
149,44,Neeraj,M,23,S9-43
150,44,Pooja,F,57,S4-13
151,44,Sangeeta,M,62,S9-32
152,44,Ankit,F,43,S6-9
153,44,Amit,M,24,S10-42
154,45,Kunal,M,40,S3-15
155,46,Amit,F,38,S8-33
156,46,Kunal,M,47,S9-3
157,47,Rohit,M,52,S1-62
158,47,Suman,F,34,S6-36
159,47,Kunal,M,55,S10-36
160,47,Amit,M,56,S5-46
161,47,Ravi,M,52,S3-48
162,48,Ankit,F,39,S3-65
163,48,Kunal,F,45,S3-15
164,49,Neeraj,F,19,S8-21
165,49,Rohit,F,46,S2-63
166,49,Ankit,F,41,S2-31
167,49,Ravi,M,33,S8-5
168,49,Amit,M,63,S10-39
169,49,Ankit,M,39,S4-18
170,50,Sangeeta,M,32,S7-66
171,51,Priya,M,35,S1-64
172,51,Ravi,M,20,S3-17
173,51,Priya,F,64,S8-5
174,52,Suman,M,57,S2-59
175,52,Suman,M,37,S2-40
176,52,Priya,F,28,S4-12
177,53,Rohit,F,61,S1-34
178,54,Ravi,M,24,S5-33
179,54,Neeraj,M,35,S4-72
180,54,Suman,F,42,S3-25
181,54,Kunal,F,44,S2-21
182,54,Kunal,M,64,S10-23
183,54,Neeraj,M,36,S9-21
184,55,Rohit,M,46,S9-21
185,56,Ravi,M,33,S7-29
186,56,Amit,F,39,S3-71
187,56,Ankit,F,22,S9-40
188,56,Pooja,M,55,S4-20
189,56,Amit,F,37,S7-56
190,56,Ankit,M,20,S4-14
191,57,Ankit,M,56,S6-2
192,58,Rohit,F,62,S2-50
193,58,Amit,F,49,S8-57
194,58,Ravi,F,50,S8-7
195,58,Rohit,M,65,S1-67
196,58,Kunal,F,35,S6-69
197,58,Kunal,F,43,S2-62
198,59,Neeraj,F,20,S2-45
199,59,Kunal,M,42,S8-14
200,59,Rohit,F,56,S9-51
201,60,Pooja,F,50,S9-48
202,60,Ravi,F,20,S9-20
203,60,Neeraj,M,64,S7-13
204,60,Kunal,F,26,S9-15
205,61,Amit,F,44,S8-55
206,61,Rohit,M,19,S4-59
207,62,Priya,F,21,S3-10
208,62,Rohit,M,24,S1-37
209,63,Priya,M,40,S2-29
210,64,Priya,F,22,S5-22
211,64,Ankit,M,51,S9-48
212,64,Rohit,M,23,S9-48
213,64,Kunal,M,37,S4-62
214,65,Amit,F,35,S5-56
215,66,Sangeeta,F,35,S9-42
216,66,Suman,F,43,S10-29
217,66,Neeraj,F,36,S1-13
218,66,Neeraj,M,43,S6-63
219,66,Sangeeta,F,57,S6-20
220,67,Kunal,F,58,S1-53
221,67,Kunal,M,23,S7-39
222,67,Suman,M,35,S2-11
223,67,Suman,F,45,S3-41
224,68,Ankit,F,55,S4-46
225,68,Neeraj,F,37,S9-21
226,68,Amit,F,41,S3-67
227,68,Pooja,F,27,S10-13
228,68,Sangeeta,M,24,S3-28
229,69,Rohit,M,26,S1-30
230,69,Amit,F,31,S6-1
231,69,Ankit,M,37,S5-19
232,69,Kunal,F,48,S7-3
233,70,Rohit,F,43,S10-5
234,71,Pooja,F,30,S4-64
235,71,Pooja,F,26,S1-34
236,72,Kunal,M,20,S9-47
237,72,Ravi,M,59,S8-4
238,72,Neeraj,F,31,S2-35
239,73,Amit,M,31,S7-52
240,73,Rohit,M,31,S10-63
241,74,Rohit,M,23,S1-33
242,74,Ankit,M,61,S8-71
243,74,Priya,F,53,S1-33
244,75,Amit,F,52,S7-27
245,76,Neeraj,F,43,S4-70
246,77,Pooja,F,65,S7-31
247,77,Suman,F,25,S8-21
248,77,Pooja,M,42,S8-65
249,77,Suman,M,59,S1-45
250,77,Suman,F,47,S3-21
251,78,Priya,F,59,S2-53
252,78,Rohit,M,35,S1-27
253,78,Sangeeta,F,49,S4-68
254,78,Sangeeta,M,25,S6-10
255,79,Kunal,M,26,S7-21
256,79,Neeraj,F,36,S9-59
257,80,Pooja,F,42,S8-12
258,81,Priya,F,39,S8-3
259,81,Neeraj,F,35,S5-10
260,81,Priya,M,43,S7-65
261,81,Ankit,F,27,S4-34
262,81,Sangeeta,F,52,S9-3
263,81,Ankit,F,46,S9-13
264,82,Neeraj,F,64,S8-70
265,82,Pooja,M,29,S1-64
266,82,Kunal,M,22,S5-27
267,82,Ravi,F,44,S5-9
268,83,Suman,F,21,S1-24
269,83,Ravi,F,62,S2-61
270,83,Kunal,M,46,S9-58
271,83,Neeraj,F,33,S3-17
272,83,Priya,F,56,S8-13
273,83,Kunal,M,31,S4-9
274,84,Rohit,M,22,S7-70
275,84,Amit,M,18,S7-47
276,84,Suman,F,34,S4-16
277,85,Pooja,F,49,S5-28
278,85,Sangeeta,F,54,S3-43
279,85,Ravi,F,30,S10-67
280,85,Neeraj,F,60,S10-27
281,85,Suman,M,22,S8-17
282,85,Ravi,F,52,S1-5
283,86,Amit,F,52,S3-26
284,86,Kunal,M,45,S4-52
285,87,Ankit,F,27,S5-70
286,87,Pooja,M,27,S8-20
287,87,Rohit,F,23,S7-14
288,87,Suman,M,32,S3-33
289,87,Neeraj,M,43,S8-45
290,88,Kunal,F,49,S7-8
291,88,Sangeeta,M,57,S6-11
292,88,Pooja,M,29,S10-24
293,88,Amit,M,42,S3-30
294,88,Neeraj,M,62,S1-44
295,89,Ravi,F,27,S4-57
296,89,Priya,F,39,S4-72
297,89,Ankit,F,52,S9-39
298,89,Pooja,M,29,S2-53
299,89,Amit,F,38,S4-41
300,89,Suman,M,46,S4-14
301,90,Amit,F,46,S6-31
302,90,Kunal,F,32,S4-37
303,90,Sangeeta,M,19,S8-54
304,90,Neeraj,F,59,S5-46
305,90,Sangeeta,F,19,S2-8
306,90,Priya,F,45,S2-20
307,91,Suman,F,32,S4-32
308,91,Priya,M,36,S8-28
309,91,Sangeeta,F,48,S5-42
310,91,Priya,M,62,S7-31
311,91,Rohit,F,27,S9-10
312,91,Sangeeta,F,31,S5-45
313,92,Ravi,M,63,S2-36
314,93,Pooja,F,46,S7-42
315,93,Sangeeta,M,60,S10-63
316,94,Priya,F,48,S9-58
317,94,Kunal,M,44,S3-40
318,94,Pooja,M,29,S4-21
319,95,Ravi,F,52,S8-46
320,95,Ankit,F,63,S9-54
321,95,Sangeeta,F,47,S4-54
322,95,Rohit,F,53,S7-29
323,96,Sangeeta,M,60,S8-45
324,97,Priya,F,63,S2-51
325,97,Pooja,M,40,S5-11
326,98,Sangeeta,M,57,S6-66
327,98,Priya,M,27,S3-22
328,99,Ankit,M,59,S1-28
329,99,Neeraj,M,40,S3-38
330,100,Sangeeta,F,47,S8-38
331,100,Amit,M,51,S6-28
332,100,Suman,M,61,S6-44
333,100,Ankit,F,26,S4-28
334,100,Kunal,F,49,S6-56
335,100,Neeraj,F,31,S6-7
